feature,importance
"value__fft_coefficient__attr_""imag""__coeff_29",135
"value__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",134
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",132
value__length,132
"value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",132
"value__fft_coefficient__attr_""imag""__coeff_28",131
"value__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)",131
"value__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",129
"value__fft_coefficient__attr_""abs""__coeff_37",129
"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",127
"value__fft_coefficient__attr_""angle""__coeff_36",127
"value__fft_coefficient__attr_""angle""__coeff_35",126
"value__fft_coefficient__attr_""real""__coeff_31",126
"value__fft_coefficient__attr_""real""__coeff_34",125
value__number_crossing_m__m_-1,125
"value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",124
"value__fft_coefficient__attr_""abs""__coeff_33",124
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",122
"value__fft_coefficient__attr_""imag""__coeff_30",122
"value__fft_coefficient__attr_""real""__coeff_35",121
"value__fft_coefficient__attr_""real""__coeff_33",121
value__count_below__t_0,121
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",120
"value__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",120
"value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",118
"value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",118
"value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",116
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",115
"value__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",114
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",113
"value__fft_coefficient__attr_""imag""__coeff_34",112
"value__fft_coefficient__attr_""imag""__coeff_36",112
"value__fft_coefficient__attr_""angle""__coeff_43",110
"value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",109
"value__fft_coefficient__attr_""imag""__coeff_32",108
"value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",108
"value__fft_coefficient__attr_""real""__coeff_36",107
value__range_count__max_1__min_-1,107
"value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",107
"value__fft_coefficient__attr_""angle""__coeff_37",105
"value__fft_coefficient__attr_""real""__coeff_38",105
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",104
"value__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",103
"value__linear_trend__attr_""rvalue""",102
value__number_crossing_m__m_1,100
"value__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",100
"value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",100
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",99
"value__fft_coefficient__attr_""imag""__coeff_35",97
"value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",96
"value__fft_coefficient__attr_""real""__coeff_37",94
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",94
"value__fft_coefficient__attr_""abs""__coeff_42",94
"value__fft_coefficient__attr_""angle""__coeff_40",94
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",93
"value__linear_trend__attr_""stderr""",93
"value__linear_trend__attr_""slope""",91
"value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",91
value__number_cwt_peaks__n_5,90
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",89
"value__fft_coefficient__attr_""angle""__coeff_42",88
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",88
"value__fft_coefficient__attr_""abs""__coeff_41",88
"value__fft_coefficient__attr_""angle""__coeff_38",87
"value__fft_aggregated__aggtype_""centroid""",86
"value__linear_trend__attr_""intercept""",85
"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",84
"value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",84
value__number_cwt_peaks__n_1,83
"value__fft_coefficient__attr_""real""__coeff_41",82
"value__fft_coefficient__attr_""abs""__coeff_43",80
"value__fft_coefficient__attr_""abs""__coeff_40",80
"value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",79
